آئروژینوزا 33,33,33,33,33,33,33,33,33,33
ترشیجات 16
ترفند 31
ترمیم 27
ترومای 59,7,7
تروپیکالیس 10
ترویج 35
ترکِ 13
ترکی 22
ترکیب 10,16,16,18,18,23,23,23,23,23,23,23,23,23,56,60
ترکیبات 10,23,23,23,23,23,23,23,23,23,30,30,58,58
ترکیباتی 23
ترکیبی 16,28,53,57
ترکیبیات 15
ترکیه 35,60,60
تریچر 44
تریکومونا 57
تزئینی 22
تزریق 11,28,58
تزریقی 28,57
تزیین 21
تزیینات 21
تسبیحی 20
تسریع 58,58,8
تسلط 46,46
تسمیهٔ 32
تسهیل 16,53
تسکین 27,32
تشخیص 11,12,13,13,13,15,18,18,20,20,20,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,33,33,33,35,35,35,42,42,44,44,44,46,46,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,9
تشخیصی 12,28,28,35,53,53,53,53
تشدید 16,16
تشریحی 53
تشریفات 21
تشعشعی 4
تشنج 28,53
تشویق 53,53,57
تشکل 25
تشکیل 11,12,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,25,25,25,28,28,28,28,28,28,32,33,41,43,43,43,43,46,47,57,58
تشکیلات 15,25,25,25
تشکیلاتی 43
تصاحب 57
تصادفی 1,10,11,11,12,13,14,15,16,17,18,18,19,2,20,21,22,23,24,25,26,27,28,28,29,3,30,31,32,33,34,35,36,37,38,39,4,4,4,40,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9
تصاویر 1,10,11,12,13,14,15,16,17,18,19,2,20,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,57,58,59,6,60,7,8,9
تصحیح 28
تصفویه 60
تصفیه 1,1,28,28,28
تصمیم 25,28,42
تصور 28
تصویب 1,25,25,25,25,25,27,43,43,43,43,57
تصویر 15,19,20,20,20,20,20,20,28,53,53
تصویربرداری 15,16,53,53,53,53
تصویری 18
تضمین 31,31,31,31,43
تضمینی 36,53
تطابق 42
تطهیر 21
تظاهر 13,13
تعادل 11,16,16,18,18,18,20,35,35,35,35,35,35,35,35,35,7
تعادلی 35,35,35
تعاریف 11,56
تعالی 53
تعالیم 11
تعامل 13,35,45
تعاملات 53
تعاملی 17,18,26,34,6
تعبیری 8
تعبیه 18,18,21,21,30,41
تعجب 6
تعداد 13,18,20,20,20,20,20,25,28,28,28,28,28,28,30,35,40,40,41,52,52,52,58,58,8,9
تعدادی 12,15,18,60
تعدیل 54
تعریف 1,1,18,28,31,42,49,53,53,53
تعزیرات 53,53
تعصب 38,38
تعلیق 23
تعمیر 49
تعمیرات 11,16,49,53,53
تعمیم 28
تعویض 46,54,54,8
تعیین 16,28,28,28,28,28,33,35,35,35,42,45,49,53,53,53,53,53
تغذیه 11,13,13,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,20,28,28,28,31,31,31,31,31,53,53,58,60,7
تغیرات 8
تغییر 10,16,17,17,17,17,18,20,23,23,27,28,28,28,28,28,28,28,30,30,36,52,53,53,53,58,58,60,7,8,8,8
تغییرات 1,10,11,12,13,14,15,16,17,18,18,19,2,20,21,22,23,24,24,25,26,27,28,28,28,28,28,29,3,30,31,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,53,54,55,56,57,58,59,6,60,7,8,9
تغییراتی 16,18,24,24
تغییرمسیر 31,56
تغییرپذیری 35
تغییری 24
تغییریافته 24
تفاوت 12,28,28,28,53,54,54,57,57,6
تفاوتی 18,28,28
تفتیش 25
تفرشی 60
تفریح 31,49
تفریحات 11,53
تفریحی 3
تفسیر 35
تفلون 46
تفنگ 50
تفنگداران 50
تفکر 15
تقاطع 15,25
تقدیم 15
تقریبا 25
تقریباً 28,28,28,60,60
تقریبی 46,7
تقسم 53
تقسیم 11,12,20,20,24,27,28,28,30,35,39,40,49,5,53,53,8
تقصیری 53
تقلبی 28
تقلید 23
تقویت 18,35,41,49,58,58,58
تقویم 15
تلاش 18,25,25,42,51
تلفات 14,25,53
تلفن 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9
تلفیقی 53
تلقی 18,53
تلنباری 17,18,26,34,6
تماس 14,17,18,18,18,18,33,54,57,57,57,57,57
تماسی 10,10,10,51
تمام 14,15,15,25,28,28,28,31,31,46,52,53,53,57,57,57,60,60,8
تماماً 21,52
تمامی 11,28,30,53,53,53,53,53,57,57
تمایز 28,28,28
تمایزگذاری 49
تمایل 16,28,57,57,59
تمثیل 32
تمدن 17,18,18,18,21,53,57
تمرکز 18,53
تمیز 15,15,16,17,18,18,18,18,18,18,18,18,22,28,28,46,46,46,46,46,46,46,46,46,46,46,49,51,51,54
تمیزتر 18
تمیزکننده 18
تمیزکنندگی 23
تمیزی 18,18,18
تناسب 16,24,31,31,49,54
تناسلی 11,16,20,42,53,57,57,57,57,57,6,6
تنباکو 14,14,14,14,14,14,14,14,14,9
تندرست 31,31
تندرستی 16,31,31,31,31,53
تندرو 15
تنظیم 18,18,18,18,18,18,18,28,28,28,30,31,35,35,53,53,53,57
تنفس 30,53,9
تنفسی 14,18,33,53
تنها 11,11,11,11,15,16,17,17,18,18,18,18,18,18,18,18,18,18,27,27,27,27,27,28,28,28,28,28,28,28,31,31,32,35,41,43,5,52,52,53,53,53,57,57,57,57,57,57,58,8
تنهایی 16,28,41,41,41,41
تنوع 27,56,57
تنگدست 15
تهاجمی 28
تهدید 31
تهران 10,25,25,25,25,49,52
تهویه 17
تهویهٔ 18,18
تهیه 16,16,23,23,24,24,27,28,33,43,49,49,53,53,57,57,58,58,58
تهیهٔ 24,24,49,57
توأم 43
توارث 28,28,42
توازن 13,15,43,43
توافق 28,8
توالت 11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,26,26,26,26,26,26,26,26,26,26,26,26,26,34,34,34,34,34,34,34,34,34,34,34,34,34,34,54,6,6,6,6,6,6,6,6,6,6,6,6
توالت_در_ژاپن 18
توالتِ 18
توالتی 17,17,17,17,18,18,18,26,26,34,34,6,6
توان 21,25,28,31,33,36,36,43,46,53,53,57,8,8,8,8
توانایی 15,18,27,28,28,28,28,28,28,28,28,28,3,31,31,33,41,58,8,8
توانبخشی 35,35,35,35,35,35,35,35,35,35,35
تواند 16,33
توانسته 28
توانمندی 16,16
توانند 12,8
توانی 13,13,13
توانید 46
توبرامایسین 33
توتو 18,18,18,18,18,18,18,18
توتون 9
توجه 11,11,11,14,16,16,16,16,18,2,24,24,25,25,27,28,28,28,28,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,33,35,39,39,39,39,39,39,39,41,49,53,53,53,53,53,57,57,57,6,6,60,8,9,9
توجهِ 31
توجهی 15,28,43,49,53,53,53
توده 10,16,16,16,16,28,28,28,28,53,58,58,58,58
توراکس 53
تورج 56
تورش 28
تورم 15,54
توره 45
تورگو 25
تورین 25
توزیع 16,21,23,23,35
توسط 1,10,10,10,11,15,15,15,17,17,18,18,2,20,20,21,22,23,23,23,23,23,24,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,31,36,38,38,38,38,38,38,39,40,44,50,50,51,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,56,56,56,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,7,7,8
توسعه 15,16,16,23,25,28,28,28,31,36,40,40,40,40,43,50,50,50,52,52,53,53,57
توسعهٔ 18
توسل 11
توشه 17
توصیف 17,18,53,53
توصیه 16,16,17,17,23,23,24,24,28,28,28,28,28,28,28,28,28,28,28,28,31,31,32,42,42,57,57,57,57,60,7
توصیهٔ 18
توضیح 18,18,42,53,53
توضیحی 18
توفان 60
توفیقات 35
توقع 31
توقف 18,60
تولد 15,16,28,28,35,42,44,53,53,8
تولدشان 28
تولنر 23
تولید 16,16,16,16,17,17,18,18,23,23,23,23,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,33,33,36,47,47,54,56,56,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,6,60,8,8,8,8,8,8,9,9,9
تولیدمثل 15,15,25,25,27,27,53,53
تولیدکننده 18,28,54,58
تولیدکنندهٔ 18,18,18,18
تولیدکنندگان 18,57,57,58
تولیدی 28
تولیدیِ 18
تومازو 55,55
تومه 24
تونل 58
توهم 9
توکار 18
توکسین 7
تکامل 44
تکاملی 13,8
تکانشی 5
تکثیر 20,46,46,46
تکرار 28,42,53,9
تکمیل 53,8
تکمیلی 28
تکنولوژی 35,8
تکنیک 30,53
تکنیکی 28
تکیه 18
تگزاس 57
تیازیدی 28
تیره 17,44
تیمی 53
تینگ 28
تیهو 16
تیوب 23
تیوبی 23,23,23
تیون 21
تیونین 33
ثابت 10,14,16,28,36
ثالثیه 53,53
ثانویه 28,53,53,53,7
ثانیاً 53
ثانیه 17,28,28,28,28,6
ثروت 49
ثروتمند 18,18,53
ثروتمندان 18,53
جاتی 10
جادوهای 15
جادوگران 15
جادویی 28,28,28,9,9
جاذب 47
جاری 18,6,8
جالبی 25,25
جامد 17,17,39,60
جامع 13,15,23,27,30,43,43,43,43,46,53
جامعه 11,11,11,11,11,11,11,11,11,15,31,31,31,31,40,43,43,49,49,49,52,53,53,58,6,8
جامعی 53
جامه 31
جامهٔ 18
جانبازان 35
جانبی 15,20,58,7
جانمایی 17
جانوران 18,25,39,39,6
جانوری 20
جاهای 18,18
جاکوب 15
جایزه 53,53,53,53,53
جایگاه 11,12,18,21,35,35,35,49,53
جایگزین 1,1,18,2,2,25,28,28,28,41,41,53,8
جایگزینی 28,28,28,28,30,53,58,58
جایی 17,18,28,28,8
جبران 15,16,28,35,52,8
جبرانی 35
جداسازی 18,19,19,19,33
جداسازی_بیمار 19
جداَخودداری 16
جداگانه 1,11,17,17,18,18,28,53
جداگانهٔ 18
جدایی 34
جداییِ 18
جدول 15
جدید 16,18,18,18,18,18,18,28,28,28,28,28,28,34,42,47,53,53,53,8
جدیدی 15,28,28,35,49,52,53,57,57,57
جرائم 53
جراح 53,53
جراحات 15
جراحان 53
جراحی 11,15,15,15,16,25,26,26,26,26,27,27,27,27,28,28,28,30,30,35,35,44,52,53,53,53,53,53,53,53,53,54
جرمشناختی 53
جریان 18,18,18,23,28,28,28,28,53,58,58,6,8,8
جزئی 23,28,49
جزئیات 1,10,11,12,13,14,15,16,17,18,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,7,8,9
جزای 6
جزایر 28,28,50
جزایی 53
جزیره 55
جستارهاي 25
جستارهای 11,12,13,14,16,17,21,22,23,24,27,28,3,30,31,32,4,43,49,52,53,54,55,57,58,59,6,60,8
جستجوی 1,53,53,55,55,55
جسمانی 16,31,31,31,5,5,5
جسمی 11,11,13,16,16,16,16,28,31,31,31,43,45,45
جشنواره 53,53
جعبه 33,33,50,50,50,53,53
جعبهٔ 18
جعفر 53
جعفری 9
جغرافیای 60
جغرافیایی 50,50
جفتی 8
جلدی 57
جلوئی 20
جلوتر 18
جلوخان 21
جلوِ 18,18
جلوگیری 1,11,11,11,11,11,11,11,11,11,11,11,15,16,17,18,18,18,18,18,19,21,23,25,27,28,28,28,28,28,28,28,34,35,35,46,47,51,51,54,57,57,57,57,57,57,57,57,57,57,60,7
جلوی 15,17,17,20,28,54,57,57
جمعه 21
جمعی 13,31
جمعیت 16,18,28,28,28,35,35,40,49,52,53,53,57,57,57,9
جمله 11,13,15,16,17,17,18,20,21,22,24,25,25,28,28,28,28,28,28,30,30,31,31,35,35,41,53,53,57,59,60
جملهٔ 23
جمهور 43,50,50,50
جمهوری 21,28,28,28,28,28,43,50,50,52,57,57
جنبشی 18,34
جنبندگی 33
جنبه 25
جنبهٔ 8
جنتا 33
جنتامایسین 33
جندی 53,53
جنسی 11,11,11,13,13,13,13,13,38,38,40,42,47,53,53,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
جنسیت 16,16,28,28,43
جنسیتی 17,18,26,34,49,49,49,6
جنسیِ 39
جنوب 15,50,58
جنوبی 50,56
جنکینز 23,23
جنین 14,25,42,42,43,44,44,44,44,50
جنینی 44,53
جهات 42
جهاد 25,25,25,25
جهان 1,1,11,14,15,15,15,15,16,16,16,17,18,18,18,18,18,18,18,18,24,25,28,28,28,28,28,28,28,28,28,35,48,53,53,53,53,53,54,58,60,7
جهانی 11,11,11,11,14,17,18,18,18,18,18,18,18,18,18,23,25,25,25,25,25,26,28,28,28,28,28,31,31,31,34,35,35,35,35,36,40,50,50,52,52,53,53,53,53,53,53,53,53,53,53,53,53,6,60,8
جوارحی 14
جوامع 15,16,24,31,35,43,53,53,53,53
جوان 11,13,28,31,60
جوانان 28,37
جوانی 31,31
جودیت 5
جوزفین 11,40,40
جوشاند 30
جوشکاری 41
جوشگاهی 10
جولای 28
جولیو 55
جوندگان 28
جونیور 50
جوید 9
جویدن 14,9
جویده 16
جکوزی 56
جیمز 8
جیوه 30
حائز 31
حادتر 7
حاره 53
حاشیه 7
حاصل 11,16,20,20,20,40,58,58,58,58,58,58,7
حاصله 58
حاضر 17,18,18,23,23,23,28,28,28,28,52,52,57,60
حافظه 41
حافظهٔ 18
حالات 7
حالت 12,17,17,18,18,18,18,20,20,20,25,28,28,33,4,46,57,57,59,7,8,9
حالتی 51,9
حالی 10,23,31,31,49,52,52,57
حالیکه 28,28,53
حامل 44,53
حاملان 57
حاملگی 28,28
حاوی 23,23,23,23,23,23,23,28,28,28,28,28,28,28,29,48,53,53,57,60,60,60,9,9,9
حاکی 28
حایز 60
حبابی 32
حبوبات 28
حتماً 17,31,46
حجرهٔ 21
حجیم 58
حداقل 10,11,17,17,28,28,28,31,31,31,31,31,32,34,36,52,53,56,56,58,7,9
حداقلی 52
حداکثر 17,21,52,53
حدود 11,11,15,15,16,16,16,16,16,18,18,18,18,18,21,25,25,25,28,28,28,28,28,28,30,40,40,40,41,41,41,44,52,57,7,8
حدودی 11,20
حرارت 1,21,21,30,30,30,36,53,56,57
حرارتی 41
حرفه 11,15,50,52,52,53,53,53,53
حرفهٔ 27
حرکات 35,54,7,8
حرکت 11,13,13,13,13,13,16,18,18,27,41,41,41,46,46,46,53,58,8,8,8
حرکتی 28,3,41,53,7,7
حساب 1,1,10,10,10,11,11,12,12,13,13,13,14,14,15,15,15,15,15,16,16,17,17,18,18,18,19,19,2,2,2,20,20,21,21,21,21,22,22,22,23,23,24,24,25,25,25,26,26,26,27,27,28,28,28,29,29,3,3,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,36,36,37,37,37,38,38,39,39,39,4,4,40,40,41,41,41,42,42,43,43,44,44,44,45,45,45,46,46,47,47,47,48,48,49,49,49,5,5,5,50,50,50,51,51,51,52,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,59,59,59,6,6,60,60,60,7,7,8,8,8,9,9,9
حساس 18,18,30,31,44,57
حساسند 18
حساسیت 23,28,28,53,57,57,57,57,57
حسگر 18,28,28
حسگرهای 18
حسگری 18
حسینی 24
حشرات 20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58
حشراتی 20
حشره 10,20
حشرهشناسی_پزشکی 20
حضور 17,25,25,25,28,28,53
حفاظ 57
حفاظت 11,19,35,35,35,35,35,35,35,38,50,50
حفاظتی 19
حفره 10,44,44
حفرهٔ 18
حقایق 53,53
حقوق 16,3,3,43,43,43,43,43,43,43,43,43,43,50,50,50,50,50,52,52,52,52,52,52,52,52,8,8
حقوقی 3,52,52,53,53
حقیقت 10,28,28,58
حقیقی 20,20
حلالیت 56
حلبی 27
حلقه 46,46,46,46,57,57,7
حلقوی 10,10,10
حمام 11,11,11,17,17,17,17,17,17,17,17,17,17,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,26,33,34,6
حمایت 31,31,31,38,38,38,43,43,43,43,43,43,43,43,43,49,53
حمله 12
حملهٔ 17
حمورابی 15
حمید 53
حنابندان 21,21
حنجره 7,9
حوادث 18,30
حواس 53
حواسشان 31
حوزة 53
حوزه 11,25,25,27,31,31,31,35,35,49,53,53,53
حوزهٔ 28
حوضی 21,21
حوله 22,22,22,22,22,22,22,22,22,22,54
حولهٔ 22,22
حولی 22
حومهٔ 6
حَوَلَ 22
حکمای 16
حکمرانان 15
حکومت 18
حکومتی 53
حیات 11,16,16,53,53,53
حیاتی 16,25,33,41,53,58,58,58
حیاط 27,27,58
حیطه 35
حیوان 15,25
حیوانات 25,25,25,25,25,25,25,25,25,25,25,39,57,58
حیواناتی 25
حیوانی 16,24,25,25,25,25,25,58
خاتمه 57
خارج 12,18,18,18,18,18,18,18,18,18,20,23,28,28,28,30,32,32,39,46,46,47,49,49,49,53,56,57,57,6,9,9
خارجه 50,50
خارجی 18,18,18,18,18,18,18,20,20,20,28,28,28,28,44,44,50,50,50,53,9
خارجیان 18,18,18
خاردار 10,57,57
خارش 57
خارنرمی 10
خاصی 15,18,18,18,18,18,21,23,25,28,28,28,41,49,53,53,53,53,53,6,60,7,8,8,8
خاصیت 22,35,39,57,7,8,8,9
خاطر 14,28,31,31,39,44,53,54,54,56
خالص 18
خالی 53,53,57
خاموش 28
خاندان 21
خانم 42
خانمانی 50
خانمی 28
خانه 1,11,17,17,17,17,17,18,18,18,18,18,18,18,19,3,31,31,49,49,49,49,49,49,49,49,49,49,49,49,50,53
خانواده 11,15,22,28,28,28,31,31,31,31,31,31,35,42,42,42,42,42,42,42,49,49,50,53,53,53,57
خانوادگی 13,28,28,28,28
خانوار 50
خانگی 11,16,20,22,22,23,23,25,28,49,49,49,49,49,49,49,49,49,49,49,49,49,53,53,53,54,58,58,58,7,8
خاورزمینِ 21
خاورمیانه 60
خاوری 17,21
خاکستر 21,23,58,58
خاکستری 10,20,38
خاکشیر 24
خاکم 21
خاکی 58
خبرنگاران 13,31,60
خبرگزاری 15,17,21,28,28,28,28,57,9,9
خبری 52,52,52,8
خدای 15,15
خدشه 54
خدمات 19,19,20,20,27,27,27,27,28,28,28,28,30,35,35,35,35,43,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,57,8
خدماتی 25
خدمت 27,49,49,53
خدمتکار 49,49
خراب 21,30
خرابی 16
خراسان 56
خراش 28
خراطی 41
خرافات 56
خرافاتی 11
خرافی 11
خرداد 49,49,60
خردکن 58
خرما 16
خروج 17,21,26,34,40,57,6,6,6
خرید 31,36,36,49,57,8
خریدار 57
خریداران 57
خریداری 23,57,57
خریدهای 49
خزانه 50,50,50
خزنده 10
خزینه 21,21,21,21,21,21,21,21
خزینهٔ 21,21
خسارات 25
خستگی 12,28,31
خشونت 47,57,57
خشکاندنِ 39
خشکی 16,2,25,57,60,9,9,9
خصلت 23
خصوص 1,10,11,12,13,14,15,15,16,17,18,19,2,20,21,22,23,24,24,25,25,26,27,28,28,28,28,28,28,28,28,28,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,42,42,43,43,44,45,46,47,48,49,5,50,51,52,53,53,53,54,55,56,56,57,58,58,59,6,60,60,7,7,8,9
خصوصاً 28,53,60
خصوصی 11,17,25,25,35,35,53,53
خصوصیات 28,53
خصوصیاتی 23,28
خطاهای 53,53,53,53,53
خطاهایی 53
خطای 11,11,40,53
خطرآفرین 1
خطرات 28,53
خطرناک 11,23
خطرناکی 60
خطری 28
خطوط 13
خفیف 28,28,28,28,28,28,28
خلاء 17,17,18,18,26,26,34,34,6,6
خلاصه 18,28,31,53
خلاف 1,20,28,56,6
خلال 24
خلاّق 43
خلوت 6
خمیده 17
خمیدگی 8,8
خمیر 23,23,23,23,23,23,23,23,41,41,46,56
خمیردندان 23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
خمیردندانی 23
خمیری 39
خواب 13,13,13,16,17,17,17,20,22,31,31,41,53,7,9,9,9
خوابدار 22
خواست 13
خواستار 18,49,8
خواسته 31
خواص 15,28,56,9
خواندن 15
خوانده 28,53,53
خواهد 11,14,15,16,16,16,16,16,17,18,2,28,28,28,31,33,46,46,46,57,7,8,8
خواهر 53
خواهشمندیم 46
خواهند 28,28,28,8
خواهیم 31
خوبی 13,16,23,28,28,28,33,46,46,57,7
خودایمن 28,28,28
خودایمنی 28,28
خودبخودی 7,7
خودداری 10,28,57,57,6
خوددگربینی 13
خودرو 51
خودش 30
خودشان 31,39
خودشیفتگی 13
خودمختاری 53,53
خودمراقبتی 31
خودِ 18
خودپایشی 28
خودکار 1,17,18,18,18,18,18,18,18,26,34,57,58,58,6
خودکاری 18
خودیار 43
خوراک 11,11,15,16,16,16,16,24,24,24,25,31,33,50,53,53
خوراکی 11,23,25,28,28,28,40,58,58,58,58,58,58,58,9
خوردن 10,11,13,16,16,16,16,16,16,16,16,24,28,28,33,49,57,58,7,7,9
خوردگی 28,30
خورشت 16
خورشیدی 25,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
خورند 44
خورگو 56
خوری 16,28
خوشامدگویی 18
خوشان 53
خوشبو 9
خوشبوی 21
خوشه 28,28,28,28,28,28,28
خولی 22
خونتان 28
خونریزی 28
خونی 28,28,33,53,7,7,7
خوکچهٔ 39
خوکی 17,18,26,34,6
خویش 28
خویشاوند 42
خویشاوندان 42
خویشاوندی 42
خیابان 15,25,6
خیار 10
خیالی 52
خیریه 53
خیزش 15
خیسانده 57
خیلی 14,23,28,31,54,57
دائرةالمعارف 25,53,53,53
دائم 28,50,9
دائمی 16,28,46,9
داتو 15
داخل 1,15,17,17,17,17,17,17,17,18,18,18,18,18,21,21,21,24,28,30,30,30,41,47,56,57,57,57,57,7
داخلی 28,28,38,47,50,50,50,50,50,52,52,53,53,53,53,7,8,9
دادن 15,16,16,17,18,18,23,28,28,30,30,42,46,53,54,58,7
دادند 15
داده 1,10,11,12,12,13,14,14,15,15,16,16,17,18,18,18,18,18,18,19,2,20,21,22,23,23,24,24,25,25,25,26,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,3,30,30,31,31,31,32,33,33,34,35,35,36,36,37,38,39,4,40,41,41,42,42,43,43,44,44,45,46,47,48,49,5,50,51,51,52,53,53,54,55,56,57,57,57,58,59,6,60,7,7,8,8,9
دادپزشک 15
دادگستری 50,50,50
دادیم 28
دارا 56,57,58,9
دارالفنون 27
داران 53
دارانی 53,57
دارای 1,1,1,1,1,1,10,10,10,10,11,11,11,11,11,11,12,12,13,13,13,13,13,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,2,2,2,20,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,23,23,23,23,24,24,24,25,25,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3,3,3,3,30,30,30,30,30,30,31,31,31,31,31,31,31,32,32,33,33,33,34,34,34,34,34,34,34,34,35,35,35,35,39,39,39,39,4,4,4,41,41,41,41,42,42,42,42,43,43,43,43,43,43,43,43,43,44,44,45,45,45,46,46,46,46,46,46,47,47,48,48,49,49,49,50,50,50,51,51,51,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,55,55,55,55,56,56,56,57,57,57,57,57,57,57,57,57,57,58,58,58,58,59,59,6,6,60,60,60,60,60,60,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9
دارد 1,10,11,12,13,14,15,15,15,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,2,20,20,20,20,21,21,22,23,24,25,25,25,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,3,30,30,30,31,31,32,32,33,34,34,35,35,36,37,38,39,4,40,41,42,42,43,43,44,45,46,46,46,47,47,47,48,49,49,49,49,5,50,51,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,55,56,56,57,57,57,57,57,57,58,58,59,59,6,6,60,60,7,8,8,9,9,9
داردو 20
داردواز 20
داردودارای 20
داردکه 20,20
دارند 10,10,11,12,13,13,13,20,20,20,22,23,23,24,25,28,28,28,28,28,28,28,28,28,28,3,30,31,31,39,42,42,42,43,46,49,52,52,53,53,53,53,54,54,57,57,57,57,57,57,57,57,57,58,7,9,9
دارنده 41
دارو 15,23,23,25,28,28,28,28,28,28,28,28,28,5,53,53,7,9
داروسازی 53,53
داروشناسی 53
داروهای 15,28,28,28,28,53,53,53,53,9
داروهایی 10,28,28,53
داروی 10,16,28,28,50,53,57
دارویی 10,10,15,15,16,23,28,28,28,28,35,53,53,53,53,57,57,57
دارچین 28
داری 50,50,50
دارید 46
داریه 10
داریوش 25
داشت 11,15,16,17,18,18,18,18,21,21,25,27,28,28,28,28,30,42,53,57,60
داشتن 1,11,17,18,23,25,28,28,28,28,31,31,31,36,46,51,56,57,57,58,7
داشتند 11,25,57,57
داشته 10,10,15,15,15,15,16,16,16,17,17,20,21,23,24,27,28,28,28,28,28,28,28,28,28,28,28,30,31,31,31,31,32,35,43,46,46,49,52,52,52,52,53,53,53,57,57,7,8,8,8,8,8,8
داماد 21,21
دامادی 21
دامن 18,54
دامنه 53,56
دامپروری 25
دامپزشک 25,25,25,25,25,25
دامپزشکان 25,25,25,25,25,25
دامپزشکانی 25
دامپزشکی 25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
دامپینگ 7,7
دامی 25,25,56,56
دانست 27,37
دانسته 49,60
دانش 15,15,15,15,15,15,15,15,16,16,25,52,53,53,53,53,53,53,53,53,53
دانشجو 25,25,35,35,35,35
دانشجوی 25,27
دانشجویان 27,52,53,53,57
دانشجویی 56
دانشمند 28
دانشمندان 16,28,28,28,53,53,56,8
دانشمندانی 53,58
دانشنامه 16,16,23
