آئروژینوزا 33,33,33,33,33,33,33,33,33,33
مرتبط 28,34,34,7
مرتبه 32
مردان 18,18,31,31,31,31,31,31,31,31,31,31,31,6
مردانه 18
مردم 15,18,18,18,32
مردمِ 18
مرده 32
مردهٔ 32
مرطوب 33,33,33
مرکزی 35,35,35
مزاج 15
مزاجی 15
مزمن 31
مزود 34
مسئله 31
مسائل 31,31
مسافرتی 34
مستقیم 33,35,7,7
مستند 12,28,30,31
مسدود 34
مسیر 34
مشابه 18,28,28,31,31,31,33
مشاهده 1,15,15,15,15,15,28,28,31,33,33,34,34,7,7
مشاوره 35,35,35,35,35,35,35,35
مشترک 33
مشخص 35
مشخصی 18
مشغول 35
مشکل 18,18,30,30,31,35
مشکلات 31,31,31,31,31,31,35
مصرف 18,18,18,18,18,18,30,31,31
مصرفی 29
مصنوعی 18,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
مصوب 28,30
مصوبات 35
مصوّب 28
مطالعات 33
مطالعه 31
مطالعهٔ 35,35
مطرح 30
معادل 31
معاینات 35
معتبر 31
معدنی 31,32,32,32,32,32,32,32
معده 32,33
معرض 31
معرفی 31,33
معروف 15,32,8,8
معلمین 35
معلولیت 35
معلولین 3
معمول 30,33
معمولاً 18,29,30,31,31,31
معمولی 18
معنوی 31,31
معنویت 31
معنی 15,18,30,31
معولیتی 35
مغبنی 7,7
مغزی 13,31
مفاصل 33
مفرط 7
مفصل 8
مفصلی 8
مفهوم 31
مقابل 30
مقاصد 33
مقاله 30,32
مقاومت 32
مقدار 18
مقداری 30
مقدماتی 15,32
مقطع 35,35,35,35
مقعد 34
مقوله 31
ملزومات 31
ملکزاده 33
ممنوع 30
ممکن 18,18,18,31,8
منابع 28,28,31,33
مناسب 30,31,6
مناسبی 31
مناطق 18,18,32
منافذ 30,30
منبع 33,33,8
منتقل 31,33
منزل 31
منطق 15
منطقه 32
منظر 31
منظم 18,31,31
منظور 31,31,34,35,35
منفی 1,31,31,31
مهار 33
مهارت 35
مهم 31
مهمی 18
مواد 15,15,29,30,30,30,30,30,30,30,30,30,30,30,31,31,32,33,34
موادی 30,30
موارد 31,31,8
مواردی 31
مواقع 18,33
موثر 30,33
موجود 1,18,28,30,30,31,32,33
موجودات 30,31,6
مورد 30,30,30,30,30,30,31,31,31,31,33,33
موردنظر 34
مورفولوژی 33
موضوع 18,18
موضوعات 31,31,31
موظف 31
موفقیت 18
موقع 35,35
مولکولی 33
موکوئیدی 33
مژگان 30
مکان 7
مکانیزم 34,34
مکانیسم 30,30,30,30,30,30,30
مکانیسمهای 30
میان 31
میانسالی 31
میانه 15
میتوان 33
میزان 18,35
میزی 6
میلاد 8
میلادی 18,30,35
میوه 31,33
میکروارگانیسم 30,30,30,30,30,30,30,30
میکروارگانیسمهای 30
میکروبی 1,15,15
میکروبیولوژیکی 12
نائل 15
نابود 33
ناتوان 33
ناتوانی 33
ناحیه 18,18,32
ناحیهٔ 18,18
نادیده 31,31
ناراضی 8
نازکی 30
ناسالم 31
ناشناخته 28,34,34,34
ناشنوایان 35
ناشی 33,33,33
ناقل 7
ناموفق 18
ناهنجار 7
ناهنجاری 33
ناپاک 18,18,18,18,18
ناپاکی 18
ناکافی 31
ناگفته 8
ناگهانی 13,31
نباشد 31
نباشند 31
نباید 30,30
نبرد 8
نبودِ 18
نتایج 33,35
نتیجه 18
نحوه 31,35
نحوی 31
نخستین 34
ندارند 18,30,31
نداشته 8
ندهد 31
نرمال 33
نسبت 18,33
نسخه 1,29,30,31,32,33,34,35,8
نشان 30,31,33
نشانی 29,30,31,32,32,33,33,34,35,8
نشود 18
نشیمنگاه 34
نظافت 33
نظامی 35,35,8
نظیر 1,35,35,35,35
نفوذ 30
نقاط 35
نقطه 1,32
نماند 8
نمناک 33
نمودن 30,30,30
نموده 30,30
نمونه 18,31,31,31,33
نهایت 18
نهایی 6
نواحی 33
نوار 29,30,31,32,33,34,35,4,8
نواقص 31
نوامبر 28
نوجوانی 15
نورفوکساسین 33
نوزادان 35,35
نوزادانی 35
نوشتارهایی 18
نوشتن 32,32
نوشیدن 31,31
نوعی 32,32
نوید 28
نویدبخش 33
نویسندگان 28
نکاتی 30
نکته 31
نکتهٔ 18
نکردن 31
نکنند 31
نگاری 15
نگاه 34
نگهداری 15
نیاز 18,30,31,31,31
نیازمند 28,28,30,31,32,32,32
نیازهای 31,31
نیالوده 31
نیترات 33
نیست 29,30,31,31,31,31,31,32,33,34,35,35,8
هادی 34,34
هانت 15,15
هایپراسمولار 28
هراسی 13,13
هرومونی 31
هرچند 29,3,30,31,31,32,33,34,35,8
هرگز 31
هستم 32
هستند 31,31,31,31,31,31,31,32,33
هفتاد 15
هفته 32
همان 31,31
همانند 31
هماهنگی 7
همراه 12,12,13,13,18,18,28,28,30,30,30,31,31,31,31,31,8
همهٔ 1,29,29,30,30,31,31,32,32,33,33,34,34,35,35,6,8,8
همواره 31
همچنین 18,30,33,35,35,35,35,35
همچون 18,30
همکاری 30
همگانی 18,18,33
همیشه 31
همین 29,30,31,31,31,31,31,32,33,34,35,4,8
هنوز 15
هنگام 18,18,31,32
هوازی 33
هواپیما 34
هوای 1,18,31
هوشمند 34,8
هوشمندِ 34
هپاتیت 30
هیجان 31
هیجانات 31
هیدروژن 30,33
هیپوکلریت 30
وابسته 31
واترلو 8
وارد 28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,33,34,34,34,35,35,35,4,8,8,8
واسطه 35
واشلت 18
واقع 35,8
واقعاً 18
والتر 15
والدین 31,31,31
وانتشار 33
واژه 15
واژگان 13,30,30,30,34,34,34,34,34,34,4,8
واژگانی 6
واکسن 33
واکسیناسیون 31,31
واکنش 31,33
وجود 1,1,1,1,1,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,31,31,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ودود 33
ورزش 31,31,31
ورود 18
ورودی 34
ورودین 8
وزوز 35
وسائل 35
وسایل 30,30,30,30,30,30,35,35,35
وسایلی 30
وسطی 15
وسواس 13
وسیع 33
وسیله 1,18,18,18,18,18,30,30,30,30,30,35
وضعیت 31,31,31
وظایف 31,35,35,35
وظیفه 31
وعده 31
وقتی 31,31
ویتامین 30
ویران 15
ویرایش 1,12,15,15,15,15,28,28,28,29,3,30,31,32,32,32,33,33,33,34,34,34,7,7,7
ویروس 30
ویلیام 8
ویژه 1,1,13,15,29,30,31,31,32,33,33,33,33,33,34,35,35,8
ویژهٔ 18,18
ویژگی 30,33
ویکی 29,30,31,32,33,34,35,8
پاتس 8
پاتوژن 33,33
پادشاه 18
پارافین 30
پارامتر 28,8
پارسه 30
پارچه 30
پارک 31
پاسخ 33
پاشام 7
پاشنه 32,32
پانکراس 7,7
پاهای 32
پاکی 18
پاکیزه 31
پایدار 1,29,30,31,32,33,34,35,8
پایداری 15,33
پایش 35
پایه 15,15,33
پایهٔ 15
پاییز 28
پایین 30,30,30,32
پتاسیم 30,31
پذیرش 35
پذیرفته 35
پرداختن 31,31
پرستاری 30
پرسنل 30,30,33
پرنده 32
پروتئین 30,30
پروتئینی 30
پروتز 35,35,8
پرکسید 30
پزشک 15,31,31
پزشکان 15,35
پزشکی 15,15,15,15,15,15,15,15,15,15,15,15,28,28,28,28,28,30,30,30,31,33,35,8
پستان 31
پلاستیک 30
پلاستیکی 30,32
پنهان 31,7
پودر 30
پوست 30,31,31,32,32,33,7
پوستی 30
پوشاک 31
پوشش 33
پوشیدن 18
پوشیده 18
پولی 34
پومیس 32
پوویودین 30
پوکه 32,32,32,32,32,32
پوکی 31,31
پژوهشگران 15
پژوهشی 35
پیام 32
پیامی 28
پیتر 8
پیدا 15,31
پیرامون 29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,33,33,34,34,34,34,35,35,35,8,8,8
پیرامونمان 31
پیرامونی 7
پیری 31
پیشانی 13
پیشرفت 35
پیشرفتی 35
پیشنهاد 18,35
پیشنهادی 31,31
پیشگامان 8
پیشگیری 31,35,35,35
پیشین 29,30,31,32,33,34,35,8
پیوند 1,13,15,28,28,28,28,28,29,29,30,30,30,30,30,30,31,31,31,31,31,31,32,32,32,33,33,33,34,34,34,34,35,35,35,8,8,8
پیوندهای 29,30,31,32,33,34,35,8
پیچیده 30
پیگیری 31,35
چارپایه 34
چاقی 31,31
چراغ 30
چربی 31,31
چشمی 31
چندان 31
چندانی 30,31
چندین 33
چنین 32
چهره 15
چگونگی 29,30,31,32,33,34,35,35,8
چیزی 31,8
ژئوفیزیک 15
ژانویه 15
ژاپن 18,18,18,18,18,18,18,18,18,18,18,18
ژاپنی 18,18,18
ژلاتین 33
ژنوم 15
کاتیونیک 30
کاذب 7
کارآزمایی 33,33
کارایی 30,8
کاربرد 29,30,31,31,33,35
کاربردش 30
کاربردی 31,8
کاربری 29,29,3,30,30,31,31,32,32,33,33,34,34,35,35,8,8
کاردانی 35
کارساز 33
کارشناسان 35
کارشناسی 35
کارهای 15,30,31
کارهایی 35
کارِ 18,18
کارکنان 30,30
کارگاهی 35
کاری 31,31
کاسته 35
کاشت 35
کاغذ 18,18,18
کاغذهای 18
کافی 31,31,31,31
کالا 18
کامل 31,31,31,31
کاملاً 30,31
کاندیدای 35
کاهش 18,18,18,18,31,35
کتاب 18
کتابخانه 12,28,31
کثیف 30
کربوکسیلاز 33
کربینیسیلین 33
کردن 18,18,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,32,32,33,34,35,4,8,8
کردنشان 18
کرده 30,33,34
کروتزفلد 13
کروزل 30
کسان 33,33
کسانی 31,35
کسانیکه 33
کشاورزی 15
کشتن 30,30
کشته 30
کشتی 15
کشفیات 8
کشور 31
کشورهای 31
کشورهایی 35
کشیدن 32,32,34
کشیده 34
کشیدگی 33
کلاس 30,35
کلاسیک 15
کلاه 31
کلاو 30
کلرید 30
کلمات 32
کلمه 31,31
کلمهٔ 18
کلنی 33,33
کلونیزه 33
کلید 18,18
کلیوی 31
کم 18
کمبود 8
کمبودهایی 31
کمتر 31,31,33
کمتری 18
کمری 7
کمین 31
کنار 31,31,31,31,31
کناری 29,30,31,32,33,34,35,4,8
کنترل 12,28,31,31,33,35,8
کنند 30,31,31
کنندگان 33
کنید 28,28,32
کنیم 30,31,31,31,33
کهنه 8
کوآنزیم 30
کوتاه 32
کودک 31,31,31,31,31,31,31,31,35
کودکان 31,31,31,31,31,31,31,31,31,31,31,31,35,35,35,35,35
کودکی 31
کورپس 15
کوفتگی 32
کولد 15
کولیسیتین 33
کوهن 30
کوچک 18,29,30,31,31
کیسهٔ 29
کیفی 35
کیفیت 1
گاهی 18,18,31,31
گذاشتن 31
گذشت 30
گذشته 18,32
گراد 30
گردآوری 34
گردش 28,7
گردهمایی 35
گردید 35
گردیده 35
گرفت 35
گرفتن 18
گرفته 31,31
گرفتگی 30
گرما 30,30,30,31
گرمای 30,30,30
گرمسیری 7
گروه 30
گروهی 35
گرچه 29,30,31,32,33,34,35,8
گزینه 31
گسترده 18
گسترش 33,35
گفتار 32,35
گفتارخوانی 35
گفتاری 7,7
گفتاوردهای 31
گفته 31,8
گلوبوس 13
گلوکز 28,33
گنسر 13
گوارش 7
گوناگون 31,33
گونه 33
گیاه 15
گیاهان 15,33
گیجگاهی 13
گیلرد 15
یائسگی 31,31
یادکرد 29,30,31,32,33,34,35,8
یادگیری 31
یافت 18,18,18,18,33,33,33,33,33,35
یددار 30
یعنی 30,30,31
یونان 15,15
یونانیان 15,8
یوگا 31
یکبارهٔ 34
یکدیگر 31
یکسان 31
یکپارچه 30
