آثار 12,17
نشانی 12,12,13,13,14,15,15,16,17,18,18,19,24,24,25,25,26,26,27,5,5
نشده 17,27
نظامی 26
نظری 23,26,26,27,27,27
نظریه 10,10,10,19,26,26,26,27,5
نظریهٔ 10,10,10,26
نظریۀ 26,26
نفوذ 18
نفوذپذیری 4,4
نقاط 11
نقشی 10
نقطه 11,11,11,11,11,24
نقطهٔ 10,26
نلسون 10
نماد 13
نمایش 12,12
نماینده 18
نمایندگانی 18
نمایی 11
نموده 14
نمونه 10,14,19
نهادند 26
نهایت 18
نهایی 24,27
نهاییشان 4
نوآوری 26
نوار 12,13,14,15,16,17,18,19,2,24,25,26,27,5
نوامبر 18
نوبل 26,26,27
نورث 23
نوزدهم 26,26
نوعی 10,27
نویز 19
نکته 26
نگاره 1
نگاه 19,27
نگرش 26,26
نگرشی 26
نیاز 15,17,26,27
نیازمند 11,15,15,26,27,27,27,27,27,5
نیتروژن 5,5,5,5,5,5,5
نیرو 24
نیروهی 27
نیروی 27,4,4
نیست 10,12,13,14,15,16,17,18,19,19,24,25,26,27,5
نیوتن 26,26,26,27,27,27
هادرونی 27,27,27,27,27,27
هاروکس 19
هاست 27
هایزنبرگ 26,26
هدایت 10,5
هدیه 18
هرآنچه 10
هرمان 18
هرون 25,25
هرچند 12,13,14,15,16,17,18,19,24,25,26,27,4,5
هرکدام 10
هرگونه 26
هریک 5
هزاران 26
هستند 10,10,11,14,27
هسته 26
هستیم 26
هفدهم 26,26,26,26,27
هلیم 5,5
هلیوم 5
همان 10,19,26
همانند 10
همبستگی 10,10,10
همراه 10,11,11,15,15,26,27
همهٔ 10,10,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,24,24,25,25,26,26,27,27,27,5,5
همواره 10,10,10,26
همچنان 26
همچنین 17,17,18,19,26,26,26,27
همچون 26,26,26,26,26
همکاران 26
همکاری 18,18,18,18,18,18,18,18
همین 12,13,14,15,16,17,18,19,19,24,25,26,26,26,26,26,26,27,5,5,5
هنگام 1,19
هنگامی 1,10,10,26,5
هنگردی 10
هوای 5
هوایی 18
هوشیار 10
هویگنس 27
واحد 13,13,13,4
واحدهای 24
وارد 12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,19,24,24,24,25,25,25,26,26,26,26,27,27,27,4,5,5,5
واسطهٔ 26
واضح 19
واضحی 26
واقع 15,18,19,19,19,27,27
واقعا 12
واقعاً 12
واقعی 10,10,14,5
واقعیات 26
واقعیت 26
واهمدوسی 10
واپاشی 10
واژگان 11,12,12,12,13,13,16,16,16,19,2,23,23,23,23,25,25,25,26,26
وایتسکر 10
وایلی 16,16,16,16
وبگاه 26,26,26,26
وجود 1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,14,14,14,14,15,15,15,15,15,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,5,5
وجودیکه 19
وحدت 26,26,26
ورناصری 18
وزارت 18,18
وسایل 19
وسیع 15
وسیله 10,18,19
وسیلهٔ 10,10,10,10,10,18
وقایع 10
وقتی 19
ولفگانگ 23
وکار 27
ویتامین 5
ویرایش 11,11,12,12,13,14,15,15,15,16,17,18,19,23,23,23,23,23,24,25,26,26,26,26,26,26,26,26,27,4
ویزدم 23
ویلر 10
ویلهلم 23
وینولا 18
وینیک 18
ویژه 12,13,14,15,16,17,18,19,24,25,26,27,5,5
ویژگی 14
ویکی 12,13,14,15,16,17,18,19,24,25,26,27,5
پادشاه 18
پارادوکس 10
پارامتر 5,5
پاسخ 26
پاسخی 10
پاندول 19,19
پاکستان 18,18,18
پایان 17,18,26
پایتخت 18,18
پایدار 12,13,14,15,16,17,18,19,24,25,26,27
پایستگی 27
پایه 18,24,26,26,26
پایگاه 17,17,17
پایۀ 26
پایین 17
پتانسیل 11,11,11,24,24,4,4,4,4,4,4,4,4,4
پتانسیلِ 24
پدید 1
پدیده 1,10
پدیدهٔ 26
پذیر 26
پذیرش 26
پذیرفتند 26
پذیرند 26
پرتاب 17,17,17,17,17,17
پرتغال 18
پرتقال 18
پرداخت 18
پرسش 10
پرسکات 19
پروفسور 18,18
پروژه 18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
پرکاربرد 27
پرینسیپیا 26
پزشکی 26
پساتحلیلی 23
پنوماتیک 25
پهلوی 19
پژواک 23,26
پژوهش 18,27
پژوهشی 18,18
پیدا 19,19,26
پیداست 26
پیدایش 19
پیرامون 12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,16,17,17,17,18,18,18,19,19,19,24,24,24,25,25,25,26,26,26,27,27,27,5,5
پیروی 10
پیشرفت 18,18
پیشرفتهای 26
پیشنهاد 10,10,18
پیشوندهایِ 24
پیشین 12,13,14,15,16,17,18,19,24,25,26,27
پیوسته 4
پیوند 11,12,12,12,13,13,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,17,17,17,18,18,18,18,19,19,24,24,24,25,25,25,26,26,26,26,27,27,27,5,5
پیوندهای 12,13,14,15,16,17,18,19,24,25,26,27
پیچشی 27
پیچیده 27
پیچیدگی 17
چارلز 12
چارچوب 15
چارچوبی 15
چربی 5
چرخش 17,27,27,27
چرخشی 17
چسبانده 19
چشمگیری 18
چقدر 4
چنانچه 19
چندان 17
چندگانه 10,10,10,10,10
چندین 19
چنین 11,14,17,17,18,18,19
چهار 26
چهارپایان 19
چهرهٔ 26
چوبی 19
چگال 26
چگالی 4,4
چگونه 12,12,12,12,27
چگونگی 10,12,13,14,15,16,17,18,19,24,25,26,26,27
چیزی 10,10,12,19
ژئوتکنیک 26
ژانویهٔ 11,26
ژاپن 18,18
ژنتیک 23,26
ژوئن 15,17
ژوئیهٔ 25
کارآمدتر 17
کاربرد 14,26
کاربردهای 19
کاربردی 16,18,18
کاربری 12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,24,24,25,25,26,26,27,27,5,5
کارل 26,26,26
کارهای 26
کارگاه 10
کاری 27
کافی 1,14,18,4
کامل 10,15,16,17,18,18,26,26
کاملاً 10,26,26,26,26
کاملتری 26
کاهش 17,18,18,5
کاوندیش 27
کاویده 27
کتاب 26,26,26,27,27,27
کربن 5
کردن 12,13,14,15,16,17,18,18,19,2,24,25,26,26,26,27,5
کردند 18,26
کرده 10,10,11
کروی 14
کریس 18
کریستین 19
کسانی 27
کشاورزی 26
کشته 18
کشتی 26,27
کشفیات 26
کشور 18,18,18,18,18,18
کشورهای 18,18,18,18,18,18,18,18,18,18
کشورهایی 18
کشید 15
کفطوسیان 18
کلارک 19,19
کلاسیک 10,11,11,19,26,26,26,26,26,26,26,26,26,26
کلاسیکی 11,11,11,11,11
کلاغ 23,26
کلاهچی 26
کلرک 26
کمبریج 10
کمتر 26
کمیت 13
کمیته 18
کنار 18,18,19
کناری 12,13,14,15,16,17,18,19,2,24,25,26,27,5
کنترل 19,27,27,27
کندتر 5
کنفرانسی 10
کنند 18
کنونی 27
کنیم 17,19,19,4
کهکشانی 12
کوانتمی 26
کوانتوم 26
کوانتومی 10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,26,26,26,26,26,26,26,26
کوانتیزه 10
کوتاه 18
کوری 27
کوپنهاگ 10
کوچک 1,12,24,26,26
کوچکتر 26,5
کوچکی 17
کویت 18,18
کِلپ 17,17,17
کپنهاکی 10,10,10,10,10
کپنهاگ 10
کیلومتر 19
کیلومتری 18
کیلوگرم 17,17,17,17,17
گازهای 17,5,5
گازی 5,5
گالیله 27,27
گاما 26
گاموف 26
گذاری 26
گذاشتن 19
گرانت 17
گرانش 26,26,26,26,26,27,27
گرانشی 17,17,26,27
گرایش 26
گرایی 23,23,23,23,23,23
گردش 5,5
گرفت 17
گرفتن 11,17,26
گرفته 10,10,12,17,18,24,26
گرمایی 4
گروه 18
گرچه 12,13,14,15,16,17,18,19,24,25,26,27,5
گزارش 18
گزارهٔ 10
گسترده 15
گسترش 27,27,27,27,27
گسیل 1
گفتاوردهای 26
گفته 14,17,26,26
گفتهٔ 10,10
گمان 26
گوتفرید 23
گوستاو 23,23
گوناگون 15,26,26,26
گونه 14,26
گیرد 17,19
گیگا 18
یابد 5,5
یابلو 23
یادآور 18
یادکرد 12,13,14,15,16,17,18,19,24,25,26,27
یافت 10
یافتن 17
یافتند 26
یافته 26
یعنی 4
یوزف 23,23
یونان 18,18
یونانی 19,26
یونسکو 18,18,18
یکدیگر 5
یکسانی 10
