آخرین 17,17,17,17,17,7
معتبر 12,17,17
معتقدند 17
معرف 17
معرفی 17,17,17,17,17,19
معلم 7
معلوم 7
معماری 18,18
معماریهای 18
معمول 18,18
معمولا 18
معمولاً 17,17,17,18,18,18,18,18,19,19,19,7
معمولی 19
معنا 4,4
معنای 19
معنی 18,19,3
معیارهای 18
مغزی 17
مفاهیم 12,4
مقابل 12,7
مقاله 11,12,12,12,12,17,18,18,18,3,4,4
مقامات 17
مقایسه 12,17,17,7
مقدماتیِ 17
مقننه 17
مقولهٔ 7
مقیاس 19
ملاقات 7
ملاقاتی 7,7
ملوانان 18
ملّی 12
ملیت 17
ممکن 11,12,12,12,17,17,18,18,18,18,18,4,7
منابع 11,12,17,19,3
مناسب 17,19,19
مناسبت 17,17,18
مناطق 18
منبع 11,11,11,16,16,18,18
منتخب 17,17
منتفی 17
منجر 19
منحل 17
منزله 17
منصوب 17
منطقی 16,19,19,19,19,19
منظور 11,12,4
منفجره 17,17
منفی 1,17,7
مهارت 12
مهروموم 17
مهلت 17
مهم 17,17
مهمی 17
مهندس 17,17,2
مهندسی 16,18,3,7
مهندسین 7
مواد 11,17,17,19,19,19,19,19
موارد 17,17,17,17,19
مواردی 12,17
موانع 17
موثرتری 19
موجب 11
موجود 17,17,18,19,19,19,3
موجودات 4
موجودی 18,18
مورد 11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,4,7,7,7,7,7,7,7
موسسات 17,17,18,18
موسیقی 7,7,7
موضوع 12,17,17,19,7
موفق 17,2
موفقیت 17
موقع 7
موقعیت 19
مولکول 17
مُوازی 12
مکان 18
مکانی 18,4
مکانیزه 19
مکانیک 19
مکانیکی 19
مکاینزاسیون 19
میان 11,17,17,17,17,17,18,19
میتاگ 17
میرشکاری 3
میزان 11
میزبان 18,18
میلادی 17,17,17,18,7
میلیاردی 7
میلیون 17,17,17,18,18,18,7,7,7
میکرو 3
میکروکنترلر 18
میگیرد 17
نابود 7
نادرست 1,18
نادیده 17
ناراحت 17
ناراحتی 7
ناشی 18
ناظر 19
نامزد 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
نامزدهای 17,17,17,17,17,17,17
نامزدی 17,17,17,17,17,17
نامشروع 17
نامه 17,17,17,17,17,17
نامیده 18
نانو 3
ناکارآمد 19
ناگزیر 17
نبود 17,17,17,17
نتایج 17
نتوانند 2
نتیجه 17,17,19,19
نجات 7
نحوه 17,7
نخستین 12,17,17,17,17,17
نخواهد 17,7
نخواهند 17
نداد 7
ندارد 4,7
ندارند 19
نداشت 7
ندانستن 17
ندرت 17
نرسند 17
نروژ 17,17,17,17,17,17,17,17,18
نروژی 17,17,17
نزدیک 18
نزدیکی 18
نسبت 12,17,19
نسخه 12,17,18,18,19,4
نشان 17,17,7
نشانی 1,12,17,17,18,18,19,4
نشده 17
نشریات 17
نشریه 17
نشست 7
نظامی 17,17,17,17,3
نظرات 17
نظرش 17
نظریه 17,17
نظیر 18
نفرِ 17
نفوذ 17
نقاط 17
نقدشدنی 17
نقطه 19
نماد 7
نمایان 7
نمایش 18,18,3,3
نمایشگر 18
نمونه 17,17,17,17,18
نهاد 17,17,17
نهادن 17
نهایی 17,17,17,17,17,19
نوآوری 3
نوار 12,17,18,19,4
نوامبر 11,16,17,17,17,17,17
نوبل 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
نوبه 19
نورد 19
نوشتار 11
نوشته 17,17
نویسنده 17,17
نویسندگان 17
نویسی 18
نوین 1,16
نویی 3
نکته 7
نکتهٔ 7
نکرده 17
نکست 7,7,7,7
نگاری 18
نگاه 7,7
نگرانی 17,18
نگرفت 17
نگرفته 18
نگیرد 17
نیاز 12,18,18,18,18,19,19,19,19,19,19,2,4
نیازمند 11,11,12,12,12,18,18,18,18,18,3,4,4,4
نیازهای 1,19
نیازی 19
نیروهای 17
نیروی 12,12,19,19,19
نیست 12,12,17,18,19,4,7
نیستند 18
نیمی 7
هامبورگ 18
هایپرتکست 7
هایی 18
هدایا 17,17
هدایت 18
هردویمان 7
هرساله 17
هرچند 12,17,18,19,4
هرگز 17,7,7,7
هرگونه 7
هریک 17,17
هزار 18,7,7
هزینه 12,12,19,19,19,19,19,19
هستند 17,17,17,17,18,18,18,3
هستهٔ 7
هستیم 12
هفته 2,2,2,2
هلند 18
همان 17,17,17,17,17,17,18
همراه 12,12,17,17,4
همسان 4
همسایهٔ 7
همسر 17
همسرش 17,7
همهٔ 1,12,12,17,17,18,18,19,19,4,4,7
همواره 7
همچنان 17,17,18
همچنین 11,17,18,18,18,19,19
همکار 7
همکاران 17,17
همکاری 17,7
همگی 7
همیشه 7
همین 1,12,17,17,18,19,19,4,7
هندلینگ 19
هندوی 17,17
هنرمندان 7
هنوز 17,18,18,19,19,4
هنگام 17
هنگامی 11,7,7,7,7
هنگفتی 17
هوشمند 19,19,19
هپاتیت 16
هیئت 17,17,17,17,17,17,7
هیتلر 17
هیچگاه 17
وابسته 17
وابستگی 17,17,17
واحد 12
وارد 1,1,12,12,12,17,17,17,18,18,18,18,18,19,19,19,2,4,4,4
واریز 18
واسطه 18
واقع 12,17,18,18
واقعی 17,19
واقعیت 17,17
والت 7,7
والتر 7
والز 17
واژه 19,19,3
واژهٔ 12
واژگان 11,12,19,3,3
واکنش 7
وبشان 7
وبگاه 7
وجود 11,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7
ورود 18
وسائل 3
وسایل 18
وسعت 4
وصیت 17,17,17,17,17,17,17,17,17,17,17,17
وصیتنامه 17
وضعیت 18,19,3
وظایف 12
وظیفه 17,17,17,17
وفات 17
وهله 18
ویدیویی 18
ویرایش 1,11,11,11,16,16,16,17,17,18,3,3
ویروس 17
ویلای 17
ویندوز 18,18
ویژه 1,12,17,17,17,17,18,18,19,19,4
ویژگی 7
ویکی 12,17,18,19,4
پادشاه 17
پادشاهی 17,17,17,17,17,17,17,17
پارامترهای 19,19
پارلمانی 17
پاریس 17
پاسخ 7,7
پاسخگو 17
پاکت 18
پاکستان 18
پایان 17,17,18,18,2,2
پایانه 19
پایتخت 17
پایدار 12,17,18,19,4
پایه 17,2,3
پایهٔ 17,17,17,17,17,17
پایگاه 18
پاییز 7
پایین 19,7
پتنت 17
پذیرایی 17
پذیرش 18,3
پرتاب 16
پرتوی 16
پرداخت 18,18,18,18,18
پرداختن 18
پرداخته 7
پرداز 18,18,18,18,18,18,18,18
پردازش 18,19,19,19,19
پردازنده 18,19
پرسرعت 19
پرسیده 7
پرنده 16
پرهزینه 19,19
پروتئین 17
پروتکل 18,18
پرورش 17
پروژه 7,7
پرینتر 18,18
پزشکان 7
پزشکی 17,17,17,17,17,3,7
پستی 4
پسوندهای 18
پشته 18
پشتی 18
پشتیبانی 18,7
پشیمانی 7
پلتفرم 18,18
پلیمرهای 17
پنجاه 17
پنجاهمین 18
پنجگانه 17,17
پندار 12
پنهان 18
پنهانی 7
پنوماتیک 19
پوند 17,18
پوینکار 17
پيداواري 12
پژوهش 17
پژوهششان 17
پیاده 18
پیام 4
پیانو 19
پیدا 19,19,19
پیرامون 1,11,12,12,12,17,17,17,17,18,18,18,19,19,19,4,4,4
پیروزی 7
پیشبرد 17,17
پیشتازان 7,7
پیشرانه 17
پیشرفت 17,19,19,19,19
پیشرفته 19,19
پیشنهاد 17,17,17,17,7,7
پیشگوی 7
پیشی 7,7
پیشین 11,12,17,18,19,4
پیوست 17
پیوستن 18
پیوند 1,1,1,1,1,1,12,12,12,16,17,17,17,17,17,17,17,18,18,18,19,19,4,4,4
پیوندهای 11,12,16,17,17,17,18,19,4
پیچیده 19,19
پیچیدگی 16
پیکسار 7,7,7,7
چالش 11,7
چاپگر 18
چراغ 18
چراغهای 18
چرندیات 7
چشمک 18
چشمگیر 17
چشمگیری 19
چندان 17
چندکاره 3
چندگانه 7
چندین 17,17,19
چنین 12,19,19,19,7
چهار 17,17,17,2
چگونه 17
چگونگی 12,17,17,18,19,4
چیدمان 12,4
چیده 19
چیزهایی 7
چیزی 17,7
چینش 19
ژئوتکنیک 3
ژنتیک 16,3
ژوئن 17,17,18,18,3
ژورنال 18
کادرهای 3
کارآمد 19
کاراس 17
کارایی 19,19,19,19,19
کاربر 18,18
کاربرد 19,19,2
کاربردی 18,3
کاربری 12,12,17,17,18,18,18,19,19,4,4,7,7
کارت 18,18,18,18,18,18
کارتهای 18,18,18,18
کارخانه 17
کارشناسان 17,4
کارل 17
کارمند 19
کاره 18
کارهای 3
کارولین 17
کارولینسکا 17
کارکنان 7
کارگر 19,19,19
کاری 12,12,2,2,2
کاغذ 18,18
کالا 12,19
کالای 19
کامل 12,17,18,19
کاملاً 17,18,19,19
کامپیوتر 7,7,7,7,7
کامپیوتری 7
کانادا 18
کاهش 12,17,18,18,19,19,19,19,19,19
کتابداری 1,1
کردم 7
کردن 12,17,18,18,18,18,18,18,19,19,2,2,4,7
کردند 17
کرده 12,17,17,17,17,17,18,18,18,19,19,4
کرون 17,17
کسالت 19
کسانی 17,17,17
کشاورزی 3
کشتی 3
کشور 17,17,17,17,17,17,17,18,18,18,2
کشورش 17
کشورهای 17,17,18,2
کشورهایی 18
کشید 12,17,18,3
کشیده 11
کلید 18,18
کلیدی 18
کلیه 17,18,19
کلیهٔ 17
کلیوی 7
کلیک 7
کم 18
کمال 17
کمبود 12,7
کمتر 19
کمتری 19
کمیته 17,17,17,17,17,17,17,17,17,17,17,17,17
کمیتهٔ 17
کنار 17
کناری 12,17,18,19,3,4
کنترل 18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
کنسرت 17,17,17,17
کنفرانس 7
کنند 18,18,18,18,19,2
کننده 17,18,18,19
کنندگان 17,18
کنید 1,12,4,7
کوانتوم 3
کودکان 17
کوردیت 17,17
کوپرتینو 7
کوچک 19,3,3,7
کوچکترش 17
کیفیت 12,19
گاهی 17
گذاری 3
گذاشته 4
گذرواژه 18
گذشت 17
گذشته 7
گرافیک 7
گرافیکی 7
گرایشی 17
گردنه 18
گردونه 17
گرفت 17,17,17,7,7,7,7
گرفتار 17,17
گرفتن 18
گرفتند 18
گرفته 17,17,17,17,17,18,19,19
گروه 12,12,17,17,7
گروهِ 12
گروهی 17,19,19
گرچه 12,17,18,19,4
گزارش 17,17,18,18,7
گزارشی 17
گزینش 17,17,17,17
گسترده 18,18,19
گستردهٔ 4
گسترش 12,12,12
گفتاوردهای 17
گفتند 17
گفتنش 7
گفته 17,17,17,17,18,19,3,7
گفتهٔ 7,7
گلابر 17
گمارده 17
گوته 17
گوستا 17
گوناگون 12,17,18
گوناگونی 18
گونه 19
گوگل 7,7,7,7
گویند 11
گیتس 7,7,7
گیربکس 19
گیرد 18
گیرنده 4,4
یابی 18
یادبود 17,17,17,17,17
یادشده 17
یادکرد 1,11,12,17,18,19,4
یادگیری 2,2
یافت 12,18
یافته 18,18,19
یاهو 3
یعنی 12,12,17,17,17,18
یهودی 17
یهودیان 17
یورو 17,17
یونیورسال 19
یکدیگر 11,12,7
یکسال 17
یکسان 19
یکپارچه 19,19
یکپارچگی 18
